submission,field,field_name,value,license,name,type,description,doi,
96,4,Code Availability,https://github.com/odbl/odbl,Apache 2.0,Open Data Blockchain,SoftwareSourceCode,,,
96,5,Data Availability,https://github.com/odbl/odbl-evaluation,Apache 2.0,Open Data Blockchain Evaluation tool,Dataset,,,
96,6,Ontology Availability,,,,,,,
97,1,Paper Type,Short,,,,,,
97,2,Student,Yes,,,,,,
97,3,Publication Resources,Yes,,,,,,
97,4,Code Availability,,,,,,,
97,5,Data Availability,https://github.com/paragdakle/emailcoref,Apache 2.0,Email benchmark corpus,Dataset,,,
97,6,Ontology Availability,,,,,,,
99,1,Paper Type,Full,,,,,,
99,2,Student,Yes,,,,,,
99,3,Publication Resources,Yes,,,,,,
99,4,Code Availability,https://github.com/dice-group/GATES,AGPL-3.0 License ,GATES,SoftwareSourceCode,Graph Attention Networks for Entity Summarization is the model that applies deep learning on graphs on entity summarization tasks. ,,
99,5,Data Availability,,,,,,,
99,6,Ontology Availability,,,,,,,
100,1,Paper Type,Full,,,,,,
100,2,Student,Yes,,,,,,
100,3,Publication Resources,Yes,,,,,,
100,4,Code Availability,https://github.com/russabiswas/Cat2Type,,Cat2Type,SoftwareSourceCode,,,
100,5,Data Availability,,,,,,,
100,6,Ontology Availability,,,,,,,
102,1,Paper Type,Short,,,,,,
102,2,Student,,,,,,,
102,3,Publication Resources,Yes,,,,,,
102,4,Code Availability,,,,,,,
102,5,Data Availability,,,,,,,
102,6,Ontology Availability,,,,,,,
104,1,Paper Type,Full,,,,,,
104,2,Student,,,,,,,
104,3,Publication Resources,Yes,,,,,,
104,4,Code Availability,https://github.com/dice-group/workload-aware-rdf-partitioning,GPL-3.0 License ,Workload-aware-rdf-partitioning,SoftwareSourceCode,,,
104,5,Data Availability,,,,,,,
104,6,Ontology Availability,,,,,,,
107,1,Paper Type,Full,,,,,,
107,2,Student,,,,,,,
107,3,Publication Resources,Yes,,,,,,
107,4,Code Availability,https://github.com/wala/graph4code, EPL-2.0 License ,graph4code,SoftwareSourceCode,,,
107,5,Data Availability,https://wala.github.io/graph4code/, EPL-2.0 License ,graph4code,Dataset,,,
107,6,Ontology Availability,,,,,,,
114,1,Paper Type,Short,,,,,,
114,2,Student,Yes,,,,,,
114,3,Publication Resources,Yes,,,,,,
114,4,Code Availability,https://github.com/nvbach91/phd-odyssey,MIT,PhD Odyssey,SoftwareSourceCode,,,
114,5,Data Availability,,,,,,,
114,6,Ontology Availability,,,,,,,
115,1,Paper Type,Full,,,,,,
115,2,Student,Yes,,,,,,
115,3,Publication Resources,Yes,,,,,,
115,4,Code Availability,https://github.com/nicklein/kgtk/tree/entity_profiling/entity_profiling,MIT,Entity profiling,SoftwareSourceCode,,,
115,4_1,Code Availability,https://github.com/nicklein/table-linker-pipelines,MIT,Table Linker Pipelines ,SoftwareSourceCode,,,
115,5,Data Availability,https://drive.google.com/drive/folders/1cwLwzoamRVDKB5oG_Mxj_bdK1FGdzmdd?usp=sharing,,Darpa Wikidata,Dataset,a subset of Wikidata that omits entities that are of class within a small set of the most populous classes,,
115,5_1,Data Availability,https://drive.google.com/drive/folders/1cwLwzoamRVDKB5oG_Mxj_bdK1FGdzmdd?usp=sharing,,Re-annotated WordSim353 dataset,Dataset,,,
115,5_2,Data Availability,https://drive.google.com/drive/folders/1cwLwzoamRVDKB5oG_Mxj_bdK1FGdzmdd?usp=sharing,,T2Dv2 and SemTabR4 benchmark tables,Dataset,,,
115,6,Ontology Availability,,,,,,,
116,1,Paper Type,Demo,,,,,,
116,2,Student,Yes,,,,,,
116,3,Publication Resources,Yes,,,,,,
116,4,Code Availability,http://stko-roy.geog.ucsb.edu/,,,Demo,,,
116,5,Data Availability,,,,,,,
116,6,Ontology Availability,,,,,,,
